,Sx,Sy,Sz,Rx,Ry,Rz,Ax,Ay,Az,Attenuation,30Hz,60Hz,90Hz
65,1.4,2,0.82,1.4,1,0.82,0.15,1.3,0.82,7.53855091981995,50.1110891488229,45.8694523005131,0.13164827964737
66,1.4,2,0.82,1.4,1,0.82,0.15,1.35,0.82,7.80671319461204,48.9964450942119,27.2749078560058,0.469232198319894
67,1.4,2,0.82,1.4,1,0.82,0.15,1.4,0.82,6.45706678496061,51.3681635701124,8.33025609641295,0.718741484711179
68,1.4,2,0.82,1.4,1,0.82,0.15,1.45,0.82,2.38122766467956,50.2502413815222,1.0303546320115,0.461356918163551
69,1.4,2,0.82,1.4,1,0.82,0.15,1.5,0.82,4.88645816943395,46.5349410163472,5.07096262301544,0.331770686377828
70,1.4,2,0.82,1.4,1,0.82,0.15,1.55,0.82,7.88067123952787,25.6301605246794,15.0944089566205,1.00066244247011
71,1.4,2,0.82,1.4,1,0.82,0.15,1.6,0.82,10.1430241569239,15.3518754465069,39.2860169435019,3.65040575397744
72,1.4,2,0.82,1.4,1,0.82,0.15,1.65,0.82,10.9794561037034,9.28272944980861,47.4220676490673,7.83370611043548
73,1.4,2,0.82,1.4,1,0.82,0.15,1.7,0.82,12.4299531722031,10.8847383606459,58.6303231004576,11.1223310520659
74,1.4,2,0.82,1.4,1,0.82,0.15,1.75,0.82,13.8247525801621,17.8729768446138,45.8280237687786,9.99611150315575
75,1.4,2,0.82,1.4,1,0.82,0.15,1.8,0.82,13.2508646892957,35.3967598604597,48.6674317821263,7.71827507872433
76,1.4,2,0.82,1.4,1,0.82,0.15,1.85,0.82,10.1449000758009,47.287957097095,51.9404465157424,3.22344274773349
77,1.4,2,0.82,1.4,1,0.82,0.15,1.9,0.82,7.66314743154074,48.1549872009553,50.5214431823055,0.266730813054137
78,1.4,2,0.82,1.4,1,0.82,0.15,1.95,0.82,8.5925448456622,50.6296842836868,48.5989866961336,1.30036434964739
79,1.4,2,0.82,1.4,1,0.82,0.15,2,0.82,12.8227520425067,47.2538401559242,50.3969641569712,7.02545022131336
80,1.4,2,0.82,1.4,1,0.82,0.15,2.05,0.82,15.4819322438476,50.8358168895516,48.8194164759403,14.2158555362065
81,1.4,2,0.82,1.4,1,0.82,0.15,2.1,0.82,16.2607808002714,48.9833515102967,46.5393484403124,21.7589522703157
82,1.4,2,0.82,1.4,1,0.82,0.2,0.1,0.82,15.2931301139947,50.3402716404468,40.0039006265675,13.6869259096822
83,1.4,2,0.82,1.4,1,0.82,0.2,0.15,0.82,11.9594092874512,49.68671160601,45.1983466906231,5.62628151551595
84,1.4,2,0.82,1.4,1,0.82,0.2,0.2,0.82,8.17568486828328,50.5278302234082,43.8511236561072,0.7880579476646
85,1.4,2,0.82,1.4,1,0.82,0.2,0.25,0.82,7.81004695975344,50.9820688598309,45.1028474861101,0.392757775105125
86,1.4,2,0.82,1.4,1,0.82,0.2,0.3,0.82,10.1283219290833,49.2806299415829,52.6900632706756,3.1336251379501
87,1.4,2,0.82,1.4,1,0.82,0.2,0.35,0.82,12.8059090857958,42.9426238128899,47.6240191685949,7.00327805730318
88,1.4,2,0.82,1.4,1,0.82,0.2,0.4,0.82,13.1389436773688,26.2922283296496,53.9697604736046,7.73694608588427
89,1.4,2,0.82,1.4,1,0.82,0.2,0.45,0.82,10.8123288451752,10.5464948866606,54.8932504408427,6.27700765446161
